"id","fase","pacote","prioridade","acao","objetivo","problema","evidencia","arquivo_funcao_url_aba","mudanca_exata","arquivos_previstos","dependencias","ordem","impacto_textual","impacto_schema","impacto_atribuicao","acao_externa","modelo_recomendado","esforco_raciocinio","ultra","revisor","justificativa_inteligencia","esforco_humano","risco","confianca","impacto_esperado","metrica","guardrail","teste_anterior","teste_posterior","duracao_minima","regra_manter","regra_reverter","rollback","documentacao"
"SEO-003","3","B","P2","testar","Melhorar LCP/INP/CLS e conversão mobile sem mudar comunicação.","TTFB/HTML rápido não prova boa experiência; recursos pesados e CWV de campo precisam de medição.","Inventário identifica recursos grandes; dados de campo completos por URL são N/D.","imagens; vídeos; fontes; CSS/JS; páginas prioritárias","Capturar Lighthouse/WebPageTest e CrUX; otimizar compressão, dimensões, preload/lazy-load e cache sem mudar imagem/vídeo/texto; uma classe de recurso por teste.","imagens; vídeos; fontes; CSS/JS; páginas prioritárias","baseline por URL/dispositivo","22","visível=não; não visível=não","não","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio-alto","Compressão ou lazy-load podem degradar qualidade/CTA.","média","Melhorar LCP/INP/CLS e conversão mobile sem mudar comunicação.","URLs válidas/indexadas ou métrica técnica específica (datas, LCP/INP/CLS, bytes, inlinks)","não piorar qualidade, acessibilidade ou CTA","congelar baseline; lab 4G; CWV campo; comparação visual; smoke mobile","lab 4G; CWV campo; comparação visual; smoke mobile","28 dias inicial; 90 dias para tendência","melhoria repetida em laboratório e tendência de campo","regressão visual/CWV/erro de reprodução","reverter otimização por classe de ativo","guia de performance"
"AI-001","3","B","P2","testar","Controle consciente de descoberta versus treinamento.","GPTBot e OAI-SearchBot estão permitidos, mas pesquisa e treinamento são decisões independentes.","robots permite ambos; documentação OpenAI separa pesquisa, treinamento e ação do usuário.","robots.txt; política de crawlers","Registrar decisão explícita: manter OAI-SearchBot acessível; decidir separadamente GPTBot; testar regras e IPs; não tratar permissão como garantia.","robots.txt; política de crawlers","decisão do responsável; docs oficiais","23","visível=não; não visível=não","não","não","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","baixo","Bloqueio amplo pode excluir pesquisa; permissão ampla pode contrariar política.","alta","Controle consciente de descoberta versus treinamento.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","OAI-SearchBot não deve ser bloqueado por regra destinada a treinamento","congelar baseline; fetch robots por user-agent; logs/IPs quando disponíveis","fetch robots por user-agent; logs/IPs quando disponíveis","28 dias inicial; 90 dias para tendência","regra corresponde à política documentada","crawler de pesquisa bloqueado ou decisão não autorizada","restaurar regra anterior se bloquear pesquisa","política de crawlers"
"AI-002","0 para verificação; 7 para implementação","E","P1","testar","Aumentar compreensão consistente sem inventar afirmações.","Entidade médica pode ser fortalecida, mas schema só deve refletir conteúdo e fontes verificáveis.","Há credenciais e páginas canônicas; conflito de resultado antigo e consistência por fonte exigem revisão.","schema; autoria; perfis; páginas médica/clínica","Fase 0: criar ficha canônica somente leitura e validar CRM/RQE/endereço/vínculos/perfis; Fase 7: após aprovação textual, ajustar IDs/relações/sameAs/autoria/schema.","schema; autoria; perfis; páginas médica/clínica","SEO-001; inventário de credenciais; revisão humana","24","visível=sim — apenas na Fase 7; não visível=sim — apenas na Fase 7","sim — apenas na Fase 7","não","sim — perfis/fontes se ajustados","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","alto","Schema divergente pode confundir buscadores e criar risco médico.","média-alta","Aumentar compreensão consistente sem inventar afirmações.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","nenhum dado não sustentado; nenhuma garantia de citação","congelar baseline; validator; comparação conteúdo-schema; busca de entidade","validator; comparação conteúdo-schema; busca de entidade","28 dias inicial; 90 dias para tendência","validadores e consistência passam; monitorar 28/90d","erro, conflito de entidade ou afirmação não verificável","remover apenas bloco novo e restaurar schema válido","guia de entidade/schema"
"AI-003","4/6","C/D","P2","testar","Mensurar aquisição identificável por IA sem superatribuição.","Sessões de IA não são atribuídas com taxonomia/evidência próprias.","Referrer não é materializado e Orgânico/Conteúdo agrega canais; ausência de referrer não prova direto.","referrer/UTM; LEADS; CRM","Capturar referrer/UTM explícita, normalizar mecanismos e registrar confiança; manter desconhecido quando não houver evidência.","referrer/UTM; LEADS; CRM","ATR-003/007","25","visível=não; não visível=não","sim","sim","não","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","médio","Referrers mudam e podem ser removidos; classificação pode ficar obsoleta.","alta","Mensurar aquisição identificável por IA sem superatribuição.","acessibilidade verificada, consistência de entidade e citações reproduzíveis","nenhuma IA atribuída só por user-agent/ausência","congelar baseline; cenários 15–17; fixtures de domínios; ausência de referrer","cenários 15–17; fixtures de domínios; ausência de referrer","28 dias inicial; 90 dias para tendência","precisão em fixtures e zero falso positivo na amostra","qualquer regra começa a rotular direto como IA","desativar regra específica e preservar sinal bruto minimizado","taxonomia de origem"
"COM-001","1 para contenção/decisão; 7 para eventual edição","A/F/G","P0","observar","Evitar risco regulatório e contradição entre site, bot e estratégia.","Faixas públicas de procedimentos individualizados exigem decisão regulatória formal e já fazem parte do Norte.","Faixas são visíveis; a Exposição de Motivos traz cautela específica para preço dependente de diagnóstico/avaliação; o enquadramento concreto é N/D até Codame/jurídico.","lifting-facial; guia de preço; FAQ/schema; revisão Codame","Fase 1: congelar expansão/reuso, inventariar e obter parecer; Fase 7: somente com autorização, manter, contextualizar ou retirar de modo coerente em conteúdo/schema/bot.","lifting-facial; guia de preço; FAQ/schema; revisão Codame","parecer; Norte; inventário","26","visível=sim, apenas na Fase 7; não visível=sim, apenas na Fase 7","sim, apenas na Fase 7","não","sim — parecer e futura edição","Sol — extra-alto para desenho; Terra — alto para aplicação aprovada","extra-alto","sim se cruzar jurídico/conteúdo/schema","Sol — extra-alto + Codame/jurídico/privacidade","risco regulatório e necessidade de separar fato, inferência e edição","médio","Remover sem análise pode prejudicar transparência/conversão e quebrar o Norte.","alta para presença; média para enquadramento","Evitar risco regulatório e contradição entre site, bot e estratégia.","conformidade e, após autorização, contatos válidos, qualificados e consultas","nenhuma conclusão jurídica definitiva pela auditoria","congelar baseline; checklist regulatório e consistência cross-channel","checklist regulatório e consistência cross-channel","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","parecer aprova e todos os pontos ficam consistentes","parecer aponta não conformidade ou comunicação contraditória","nenhuma edição antes do parecer; rollback de conteúdo versionado","Norte; política editorial; base do bot"
"COM-002","1 para contenção/inventário; 7 para eventual edição","A/F/G","P0","observar","Reduzir risco ético sem uso promocional enganoso.","Conjuntos podem não cumprir integralmente contexto educativo, diversidade de casos e evoluções exigidas.","Há galerias com poucas imagens/múltiplas vistas; resultados insatisfatórios/complicações e contexto completo não foram comprovados em todas.","17 páginas com galerias antes/depois","Fase 1: congelar expansão/reuso, inventariar casos/vistas/autorizações e obter parecer; Fase 7: retirar/adequar somente após aprovação.","17 páginas com galerias antes/depois","inventário de consentimentos; parecer","27","visível=sim, apenas na Fase 7; não visível=sim, apenas na Fase 7","sim — apenas na Fase 7 se ImageObject/FAQ afetados","não","sim — médica/Codame","Sol — extra-alto para desenho; Terra — alto para aplicação aprovada","extra-alto","sim se cruzar jurídico/conteúdo/schema","Sol — extra-alto + Codame/jurídico/privacidade","risco regulatório e necessidade de separar fato, inferência e edição","alto","Alteração pode expor paciente, reduzir contexto ou interpretar norma errado.","média-alta","Reduzir risco ético sem uso promocional enganoso.","conformidade e, após autorização, contatos válidos, qualificados e consultas","zero identificação indevida; nenhuma promessa de resultado","congelar baseline; checklist por página/caso; revisão visual e jurídica","checklist por página/caso; revisão visual e jurídica","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","100% casos aprovados/documentados","consentimento ausente, identificação ou orientação de retirada","não ampliar; despublicar apenas ativo específico se risco confirmado; preservar backup restrito","registro de imagens e política editorial"
"COM-003","1 para contenção/parecer; 7 para eventual edição","A/F/G","P0","observar","Conformidade e proteção de público sensível.","Um mesmo ativo com exposição mamária aparece em múltiplas páginas; aviso/restrição etária não foi comprovado.","Revisão do repo encontrou reutilização do ativo; obrigação exata e mecanismo adequado dependem de fonte oficial/parecer.","páginas com imagem de mama/abdome e possível conteúdo sensível","Fase 1: congelar reutilização, confirmar norma/abrangência e inventariar rotas; Fase 7: se aplicável, criar gate/aviso acessível sem vazar tracking.","páginas com imagem de mama/abdome e possível conteúdo sensível","citação oficial; COM-002; arquitetura de consentimento","28","visível=sim, apenas na Fase 7; não visível=sim, apenas na Fase 7","sim possivelmente na Fase 7","não","sim — parecer e futura edição","Sol — extra-alto para desenho; Terra — alto para aplicação aprovada","extra-alto","sim se cruzar jurídico/conteúdo/schema","Sol — extra-alto + Codame/jurídico/privacidade","risco regulatório e necessidade de separar fato, inferência e edição","médio-alto","Gate mal feito pode bloquear crawler/acessibilidade ou persistir idade indevidamente.","média","Conformidade e proteção de público sensível.","conformidade e, após autorização, contatos válidos, qualificados e consultas","sem dado de idade identificável; conteúdo não vaza no preview","congelar baseline; navegação menor/maior, crawler, acessibilidade, cache e analytics","navegação menor/maior, crawler, acessibilidade, cache e analytics","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","parecer e testes aprovados","bloqueio técnico, coleta indevida ou parecer contrário","não ampliar; feature flag e remoção do gate se bloquear acesso legítimo","política de conteúdo sensível"
"COM-004","1 para inventário; 7 para eventual ação pública","A/F/G","P0","observar","Provar governança e remover somente ativos sem base confirmada.","Autorizações expressas e anonimato não são demonstráveis pelo repositório.","Imagens potencialmente reidentificáveis existem; ausência de documentos no repo = N/D, não prova de ausência.","imagens/depoimentos e arquivo de autorizações","Fase 1: congelar expansão e criar inventário restrito de consentimento/finalidade/validade/revogação; Fase 7: agir publicamente apenas após parecer; nunca persistir documentos no repo público.","imagens/depoimentos e arquivo de autorizações","parecer; storage seguro; COM-002","29","visível=não inicialmente; não visível=não","sim — registro interno, não site","não","sim — médica/jurídico","Sol — extra-alto para desenho; Terra — alto para aplicação aprovada","extra-alto","sim se cruzar jurídico/conteúdo/schema","Sol — extra-alto + Codame/jurídico/privacidade","risco regulatório e necessidade de separar fato, inferência e edição","alto","Centralizar consentimentos no lugar errado aumenta exposição.","alta para lacuna documental no repo; N/D para operação","Provar governança e remover somente ativos sem base confirmada.","conformidade e, após autorização, contatos válidos, qualificados e consultas","documentos nunca entram no artefato público","congelar baseline; 100% dos ativos; teste de acesso/revogação","100% dos ativos; teste de acesso/revogação","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","100% ativos têm status verificável","ativo sem autorização ou acesso excessivo","não ampliar; retirar acesso ao registro novo e manter backup seguro","registro de consentimentos e runbook de revogação"
"COM-005","7","F","P2","testar","Melhorar conversão útil sem otimizar apenas clique.","Há oportunidades de clareza/continuidade, mas mudanças simultâneas impediriam atribuir efeito.","Diagnóstico por página separa intenção, objeção, prova e CTA; causalidade de conversão é N/D sem teste.","páginas e CTAs priorizados em 09-COMUNICACAO-E-CONVERSAO.md","Priorizar uma hipótese por página; aprovar texto/CTA/layout; usar controle ou série interrompida; medir contato válido e etapas downstream.","páginas e CTAs priorizados em 09-COMUNICACAO-E-CONVERSAO.md","mensuração estável; aprovação médica","30","visível=sim; não visível=sim","sim se schema/metadata mudar","possível","não","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","médio","Mudanças podem reduzir qualidade do lead ou contaminar mídia.","média","Melhorar conversão útil sem otimizar apenas clique.","conformidade e, após autorização, contatos válidos, qualificados e consultas","sem promessa, medo ou garantia; qualidade não piora","congelar baseline; QA de texto/política/mobile; experimento isolado","QA de texto/política/mobile; experimento isolado","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","avanço downstream melhora com guardrails","piora relevante ou alerta ético","restaurar conteúdo anterior por página","histórico editorial e plano de experimento"
"EXT-001","8","G","P2","testar","Acelerar descoberta técnica e monitorar erros.","Sinais técnicos externos e submissões devem seguir código publicado e validado.","Conectores/estado variam; plugin IndexNow existe, mas recibos/painel atuais são N/D; nenhuma ação externa foi autorizada.","Search Console; Bing Webmaster; IndexNow","Após correções publicadas e autorizadas, inspecionar sitemap/indexação; submeter somente canonical 200; registrar separado preparado, submetido, aceito, rastreado, indexado e citado, sem usar IndexNow como garantia.","Search Console; Bing Webmaster; IndexNow","B publicado; propriedade verificada","31","visível=não; não visível=não","não","não","sim","Terra — alto para coleta/implementação; Sol — alto para decisão","médio a alto","não","Sol — alto","trabalho verificável de risco moderado com julgamento final","baixo-médio","Submeter URL errada ou chamar aceite de indexação cria ruído.","média","Acelerar descoberta técnica e monitorar erros.","estados preparado→submetido→aceito→rastreado→indexado e erros","somente canonical 200 indexável; cada estado permanece distinto","congelar baseline; recibo 200/202; inspeção URL; logs de plugin; painel","recibo 200/202; inspeção URL; logs de plugin; painel","14 dias ou amostra mínima do plano","recibos válidos, URLs corretas e sem regressão","erros, abuso de quota ou URLs inválidas","revogar chave/config e parar submissões","runbook de indexação"
"SEC-005","1","A","P0","corrigir","Reduzir inferência de interesse médico em analytics e eliminar afirmação incorreta.","O evento GA4 é capaz de enviar parâmetros que revelam página, grupo, texto e posição do CTA em contexto médico, enquanto a política afirma não enviar o procedimento como parâmetro personalizado.","Código envia event_label, page_type, content_group, cta_location, cta_text e page_path após aceite; payload efetivamente recebido no GA4 é N/D.","conversion-tracking.js; evento GA4 whatsapp_click; privacidade/index.html","Conter o evento em payload genérico não semântico; validar Network/DebugView sem paciente; revisar necessidade e alinhar política apenas após parecer de privacidade/jurídico.","conversion-tracking.js; evento GA4 whatsapp_click; privacidade/index.html","baseline GA4; revisão privacidade; catálogo de eventos","32","visível=possível — política somente após autorização; não visível=sim","não","sim","sim — leitura GA4/parecer e futura configuração","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio","Remover parâmetros pode reduzir diagnóstico; manter pode expor interesse sensível.","alta para capacidade do código; N/D para receipt","Reduzir inferência de interesse médico em analytics e eliminar afirmação incorreta.","incidentes, IDs ou payloads com PII/dado semântico proibido e cobertura do controle","zero conteúdo/procedimento/path semântico; nenhuma PII","congelar baseline; captura de rede e DebugView sintético; busca por path/procedimento/CTA text","captura de rede e DebugView sintético; busca por path/procedimento/CTA text","até passar; depois 7–14 dias de estabilidade","evento genérico atende medição aprovada e política coincide","qualquer parâmetro sensível ou perda sem alternativa segura","desativar o evento inteiro; não restaurar parâmetros sensíveis","política de privacidade; catálogo GA4; guia de tracking"
"DAT-000","0/6","D","P0","corrigir","Evitar editar a aba errada e criar conceitos concorrentes.","Criar colunas antes de aprovar o contrato produziria duplicidade semântica e migração arriscada.","Inventário propõe 43 campos/21 dimensões de contrato; schema live já tem placeholders, duplicidade e projeções legadas.","06-CONTRATO-DE-DADOS-ORIGEM.csv; LEADS; CRM","Aprovar campo a campo fonte, normalização, enum, first/last, confiança, destino, privacidade e consumidor; só depois desenhar migração e colunas.","06-CONTRATO-DE-DADOS-ORIGEM.csv; LEADS; CRM","revisão operacional e técnica; Norte","33","visível=não; não visível=não","sim","sim","não","Sol — extra-alto para desenho; Sol — alto para implementação; Terra — alto para QA","extra-alto","sim","Sol — extra-alto independente","risco de privacidade, corrupção, falsa atribuição ou rollback difícil","médio","Contrato excessivo ou não aderente pode aumentar complexidade.","alta","Evitar editar a aba errada e criar conceitos concorrentes.","cobertura de schema/estado e divergência fonte-ledger-LEADS-CRM","adaptar ao schema existente; nenhuma coluna sem consumidor","congelar baseline; checagem de duplicidade semântica; walkthrough de 25 cenários","checagem de duplicidade semântica; walkthrough de 25 cenários","até passar; depois 7–14 dias de estabilidade","todos os campos necessários têm dono e regra; nenhum duplicado","qualquer ambiguidade de significado ou risco não resolvido","não migrar; revisar o contrato local","contrato de dados e dicionário"
"COM-006","7","E","P1","corrigir","Consistência da entidade e confiança sem ampliar credenciais.","Formulações sobre UNICAMP variam e podem confundir graduação, formação e residência.","Oito páginas usam uma formulação; outras usam variantes; instituição da graduação foi N/D.","home; páginas com credenciais; schema","Validar diploma, residência, título, CRM e RQE; aprovar redação canônica factual; aplicar a todas as superfícies e schema apenas depois.","home; páginas com credenciais; schema","documentos e aprovação médica","34","visível=sim; não visível=sim","sim","não","sim — validação documental","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","médio","Redação incorreta cria risco reputacional/regulatório.","alta","Consistência da entidade e confiança sem ampliar credenciais.","conformidade e, após autorização, contatos válidos, qualificados e consultas","não inferir instituição da graduação","congelar baseline; varredura de variantes e comparação conteúdo-schema","varredura de variantes e comparação conteúdo-schema","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","zero variante não aprovada","qualquer fato não comprovado","restaurar última redação comprovada","ficha de entidade e guia editorial"
"COM-007","7","F","P1","testar","Reduzir contatos desalinhados e melhorar agendamento.","Onze páginas comerciais não apresentam o pacote prático da consulta de forma consistente.","12/23 páginas comerciais/roteadoras têm valor/pagamento; 11 não.","11 páginas comerciais listadas em 09","Testar bloco curto com o que acontece, local, valor da consulta, pagamento, nota fiscal e ausência de pressão, somente com dados confirmados e sem preço de procedimento; qualquer menção fiscal depende da redação aprovada em COM-011.","11 páginas comerciais listadas em 09","COM-001; COM-011; dados operacionais; mensuração estável","35","visível=sim; não visível=possível","possível","não","não","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","médio","Pode aumentar fricção ou criar informação desatualizada.","média","Reduzir contatos desalinhados e melhorar agendamento.","conformidade e, após autorização, contatos válidos, qualificados e consultas","não prometer disponibilidade/duração/dedução fiscal; preservar decisão individual","congelar baseline; cluster isolado por 28 dias ou ≥30 contatos válidos","cluster isolado por 28 dias ou ≥30 contatos válidos","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","qualidade/agendamento melhoram sem perda de validade","piora persistente ou dado operacional incorreto","remover bloco e restaurar versão anterior","guia de linguagem e atendimento"
"COM-008","7 após 4","F","P1","testar","Melhor continuidade e teste comparável.","Há 21 rótulos de CTA, o que fragmenta promessa e comparabilidade.","213 links rastreados; 21 rótulos visíveis; nenhum rótulo tem superioridade causal comprovada.","213 CTAs em 43 páginas; tracking e WhatsApp","Após fechar atribuição, testar taxonomia com primário de agenda/disponibilidade e secundário de dúvida; preservar página, código e mensagem.","213 CTAs em 43 páginas; tracking e WhatsApp","Fase 4; baseline por CTA","36","visível=sim; não visível=sim","não","sim","possível — bot/WhatsApp","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","sim na revisão integrada","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","alto","Mudança pode quebrar atribuição ou reduzir contatos válidos.","média-alta","Melhor continuidade e teste comparável.","conformidade e, após autorização, contatos válidos, qualificados e consultas","não medir só clique; uma mudança por janela","congelar baseline; CTA→conversa→válido→qualificado→agendado por página","CTA→conversa→válido→qualificado→agendado por página","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","ganho downstream com atribuição estável","qualquer quebra E2E ou piora de qualidade","repor rótulo/mensagem anterior","design system de CTA e catálogo de eventos"
"COM-009","2","B/G","P1","observar","Evitar corrigir texto quando o defeito pode ser instrumentação.","Ausência anterior de key event não identifica se o problema é página, medição, volume, intenção ou tráfego.","Recorte anterior registrou 35 sessões consentidas e zero key event; causa é N/D.","/lipo-de-papada/; analytics; LEADS/CRM","Não reescrever; reconciliar sessão, CTA, conversa, contato válido e qualificação por 28/90 dias; formular teste editorial só depois.","/lipo-de-papada/; analytics; LEADS/CRM","definição de eventos; atribuição","37","visível=não; não visível=não","não","não","sim — somente leitura de analytics/CRM","Sol — alto para decisão; Terra — alto para implementação","alto","não, salvo conflito","Sol — alto","decisão relevante com escopo delimitável","médio","Conclusão prematura pode desperdiçar um ativo coerente.","média para sinal; baixa para causa","Evitar corrigir texto quando o defeito pode ser instrumentação.","conformidade e, após autorização, contatos válidos, qualificados e consultas","ausência de evento não é zero contato","congelar baseline; reconciliação por dispositivo/origem/CTA","reconciliação por dispositivo/origem/CTA","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","causa isolada com evidência suficiente","dados continuam não reconciliados","não há rollback enquanto apenas observar","backlog da página e plano de mensuração"
"COM-010","7","E","P1","corrigir","Confiança, segurança clínica e conteúdo compreensível por buscadores/IA.","Parte do conteúdo clínico não expõe fonte, data/revisão ou limitações verificáveis.","Entre 19 artigos clínicos, 14 têm data e 13 seção de fontes; seis não mostram marcador de fontes.","seis artigos sem fontes identificadas; autoria/revisão/schema","Fazer revisão médica; adicionar fontes primárias pertinentes, data, autoria/revisão e limitações; somente afirmações sustentadas.","seis artigos sem fontes identificadas; autoria/revisão/schema","responsável médico; fontes oficiais","38","visível=sim; não visível=sim","sim","não","sim — pesquisa/revisão médica","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","alto","Fonte decorativa ou atualização incorreta pode aumentar risco.","alta para cobertura; média para impacto","Confiança, segurança clínica e conteúdo compreensível por buscadores/IA.","conformidade e, após autorização, contatos válidos, qualificados e consultas","não aumentar texto sem valor nem dar recomendação individual","congelar baseline; rastreabilidade de afirmações e validação schema-conteúdo","rastreabilidade de afirmações e validação schema-conteúdo","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","100% afirmações materiais rastreáveis","fonte não sustenta conteúdo ou revisão médica rejeita","retirar afirmação/fonte inadequada","política editorial e ficha de revisão"
"COM-011","7","F","P1","corrigir","Reduzir interpretação errada sem retirar transparência.","A frase sobre uso no Imposto de Renda pode ser lida como promessa fiscal geral.","Texto atual é amplo; regras dependem de natureza, comprovação, reembolso e situação individual.","home; mensagem sobre nota fiscal/IR","Após validação tributária/jurídica, condicionar à legislação e ao caso e referenciar fonte oficial; nunca prometer dedução/restituição.","home; mensagem sobre nota fiscal/IR","fonte Receita e parecer","39","visível=sim; não visível=possível","possível","não","sim — validação tributária/jurídica","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","baixo","Texto jurídico demais pode confundir ou desatualizar.","média-alta","Reduzir interpretação errada sem retirar transparência.","conformidade e, após autorização, contatos válidos, qualificados e consultas","sem promessa de dedução, restituição ou percentual","congelar baseline; revisão de compreensão e dúvidas/contestações","revisão de compreensão e dúvidas/contestações","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","formulação permanece correta e compreendida","mudança normativa ou contestação relevante","restaurar última redação juridicamente aprovada","guia de linguagem e fonte oficial"
"COM-012","7","F","P2","testar","Melhor compreensão e progressão até contato válido.","Páginas densas podem dificultar leitura mobile, mas problema real é N/D.","Conteúdo é extenso; experiência real por tarefa/compreensão não foi medida.","guias de preço; lifting; otoplastia adulto/infantil","Testar sumário, respostas curtas e acordeões acessíveis para conteúdo secundário; nunca ocultar riscos/limites.","guias de preço; lifting; otoplastia adulto/infantil","baseline mobile; aprovação de conteúdo","40","visível=sim; não visível=sim","não","não","não","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","não","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","médio","Acordeão pode esconder informação essencial ou piorar acessibilidade.","baixa-média","Melhor compreensão e progressão até contato válido.","conformidade e, após autorização, contatos válidos, qualificados e consultas","conteúdo essencial sem interação; uma página por vez","congelar baseline; teste de tarefa, teclado/leitor, CWV e resultado downstream por 28 dias","teste de tarefa, teclado/leitor, CWV e resultado downstream por 28 dias","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","compreensão e resultado final melhoram","acessibilidade ou qualidade pioram","restaurar estrutura anterior","padrão editorial/componentes"
"COM-013","2/4","C/G","P1","testar","Identificar onde a comunicação ou a integração perde pacientes.","Continuidade página→WhatsApp é forte no desenho, mas entrega e resultado final são N/D.","Mensagens são contextualizadas; nenhuma amostra E2E live foi criada nesta auditoria.","landing; CTA; WhatsApp; bot; LEADS; CRM","Medir por página/intenção/código visita→CTA→conversa→válido→qualificado→agendado→realizado→fechado com IDs opacos e perdas por etapa.","landing; CTA; WhatsApp; bot; LEADS; CRM","ATR-001..008; contrato D","41","visível=não; não visível=não","sim","sim","sim — leituras e sonda futura","Sol — extra-alto para arquitetura; Sol/Terra — alto para implementação delimitada","alto a extra-alto","sim","Sol — extra-alto","integração de várias camadas pode perder dados silenciosamente","alto","Instrumentação mal desenhada expõe dados de saúde.","alta para necessidade","Identificar onde a comunicação ou a integração perde pacientes.","conformidade e, após autorização, contatos válidos, qualificados e consultas","sem mensagens/telefones; ausência de referrer não é direto","congelar baseline; sonda anonimizada e reconciliação 28/90 dias","sonda anonimizada e reconciliação 28/90 dias","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","Meta Site: 100% da sonda, depois cobertura ≥80%, duplicidade <2% e LEADS=CRM; demais rotas com meta própria","PII, cobertura Meta <80%, duplicidade ≥2%, divergência ou falsa origem","desativar instrumentação nova mantendo baseline","catálogo de eventos e mensuração"
"COM-014","7","E","P1","observar","Reduzir ambiguidade entre médica e clínica.","Bloco completo de identidade da clínica/diretor técnico não foi identificado; aplicabilidade é N/D.","HTML tem identidade médica; registro PJ/RT completo não foi confirmado.","home; rodapé; clínica/local; schema Organization","Inventariar documentos e enquadramento; validar com Codame/jurídico; publicar somente campos obrigatórios e comprovados, consistentes em rodapé/página/schema.","home; rodapé; clínica/local; schema Organization","documentos da clínica; SEO-001/AI-002","42","visível=possível; não visível=sim","sim","não","sim — documentos e parecer","Sol — alto para proposta; Terra — alto para aplicação aprovada","alto","sim na revisão integrada","Sol — alto + responsável médico/jurídico quando aplicável","mudança de significado médico/institucional exige julgamento verificado","médio","Informação incorreta pode criar risco regulatório e de entidade.","média","Reduzir ambiguidade entre médica e clínica.","conformidade e, após autorização, contatos válidos, qualificados e consultas","não inventar CRM-PJ, vínculo ou RT","congelar baseline; consistência 100% entre superfícies e fontes oficiais","consistência 100% entre superfícies e fontes oficiais","28 dias ou ≥30 contatos válidos após aprovação, salvo contenção P0","registro/vínculo válidos e consistentes","qualquer divergência documental","remover campo não comprovado","ficha canônica da entidade"
