"id","prioridade","trilha","tipo","fase","pacote","arquivo_funcao_url_aba","problema","evidencia","mudanca_exata","altera_texto_visivel","altera_texto_nao_visivel","altera_schema","altera_atribuicao","altera_planilha","exige_acao_externa","impacto_esperado","confianca","esforco","risco","dependencias","teste","guardrail","rollback","regra_manter","regra_reverter","documentacao"
"SEC-005","P0","T3/T5","corrigir","1","A","conversion-tracking.js; evento GA4 whatsapp_click; privacidade/index.html","O evento GA4 é capaz de enviar parâmetros que revelam página, grupo, texto e posição do CTA em contexto médico, enquanto a política afirma não enviar o procedimento como parâmetro personalizado.","Código envia event_label, page_type, content_group, cta_location, cta_text e page_path após aceite; payload efetivamente recebido no GA4 é N/D.","Conter o evento em payload genérico não semântico; validar Network/DebugView sem paciente; revisar necessidade e alinhar política apenas após parecer de privacidade/jurídico.","possível — política somente após autorização","sim","não","sim","não","sim — leitura GA4/parecer e futura configuração","Reduzir inferência de interesse médico em analytics e eliminar afirmação incorreta.","alta para capacidade do código; N/D para receipt","médio","Remover parâmetros pode reduzir diagnóstico; manter pode expor interesse sensível.","baseline GA4; revisão privacidade; catálogo de eventos","captura de rede e DebugView sintético; busca por path/procedimento/CTA text","zero conteúdo/procedimento/path semântico; nenhuma PII","desativar o evento inteiro; não restaurar parâmetros sensíveis","evento genérico atende medição aprovada e política coincide","qualquer parâmetro sensível ou perda sem alternativa segura","política de privacidade; catálogo GA4; guia de tracking"
"DAT-000","P0","T4","corrigir","0/6","D","06-CONTRATO-DE-DADOS-ORIGEM.csv; LEADS; CRM","Criar colunas antes de aprovar o contrato produziria duplicidade semântica e migração arriscada.","Inventário propõe 43 campos/21 dimensões de contrato; schema live já tem placeholders, duplicidade e projeções legadas.","Aprovar campo a campo fonte, normalização, enum, first/last, confiança, destino, privacidade e consumidor; só depois desenhar migração e colunas.","não","não","sim","sim","sim","não","Evitar editar a aba errada e criar conceitos concorrentes.","alta","médio","Contrato excessivo ou não aderente pode aumentar complexidade.","revisão operacional e técnica; Norte","checagem de duplicidade semântica; walkthrough de 25 cenários","adaptar ao schema existente; nenhuma coluna sem consumidor","não migrar; revisar o contrato local","todos os campos necessários têm dono e regra; nenhum duplicado","qualquer ambiguidade de significado ou risco não resolvido","contrato de dados e dicionário"
"COM-006","P1","T5","corrigir","7","E","home; páginas com credenciais; schema","Formulações sobre UNICAMP variam e podem confundir graduação, formação e residência.","Oito páginas usam uma formulação; outras usam variantes; instituição da graduação foi N/D.","Validar diploma, residência, título, CRM e RQE; aprovar redação canônica factual; aplicar a todas as superfícies e schema apenas depois.","sim","sim","sim","não","não","sim — validação documental","Consistência da entidade e confiança sem ampliar credenciais.","alta","médio","Redação incorreta cria risco reputacional/regulatório.","documentos e aprovação médica","varredura de variantes e comparação conteúdo-schema","não inferir instituição da graduação","restaurar última redação comprovada","zero variante não aprovada","qualquer fato não comprovado","ficha de entidade e guia editorial"
"COM-007","P1","T5","testar","7","F","11 páginas comerciais listadas em 09","Onze páginas comerciais não apresentam o pacote prático da consulta de forma consistente.","12/23 páginas comerciais/roteadoras têm valor/pagamento; 11 não.","Testar bloco curto com o que acontece, local, valor da consulta, pagamento, nota fiscal e ausência de pressão, somente com dados confirmados e sem preço de procedimento; qualquer menção fiscal depende da redação aprovada em COM-011.","sim","possível","possível","não","não","não","Reduzir contatos desalinhados e melhorar agendamento.","média","médio","Pode aumentar fricção ou criar informação desatualizada.","COM-001; COM-011; dados operacionais; mensuração estável","cluster isolado por 28 dias ou ≥30 contatos válidos","não prometer disponibilidade/duração/dedução fiscal; preservar decisão individual","remover bloco e restaurar versão anterior","qualidade/agendamento melhoram sem perda de validade","piora persistente ou dado operacional incorreto","guia de linguagem e atendimento"
"COM-008","P1","T5/T3","testar","7 após 4","F","213 CTAs em 43 páginas; tracking e WhatsApp","Há 21 rótulos de CTA, o que fragmenta promessa e comparabilidade.","213 links rastreados; 21 rótulos visíveis; nenhum rótulo tem superioridade causal comprovada.","Após fechar atribuição, testar taxonomia com primário de agenda/disponibilidade e secundário de dúvida; preservar página, código e mensagem.","sim","sim","não","sim","não","possível — bot/WhatsApp","Melhor continuidade e teste comparável.","média-alta","alto","Mudança pode quebrar atribuição ou reduzir contatos válidos.","Fase 4; baseline por CTA","CTA→conversa→válido→qualificado→agendado por página","não medir só clique; uma mudança por janela","repor rótulo/mensagem anterior","ganho downstream com atribuição estável","qualquer quebra E2E ou piora de qualidade","design system de CTA e catálogo de eventos"
"COM-009","P1","T7","observar","2","B/G","/lipo-de-papada/; analytics; LEADS/CRM","Ausência anterior de key event não identifica se o problema é página, medição, volume, intenção ou tráfego.","Recorte anterior registrou 35 sessões consentidas e zero key event; causa é N/D.","Não reescrever; reconciliar sessão, CTA, conversa, contato válido e qualificação por 28/90 dias; formular teste editorial só depois.","não","não","não","não","não","sim — somente leitura de analytics/CRM","Evitar corrigir texto quando o defeito pode ser instrumentação.","média para sinal; baixa para causa","médio","Conclusão prematura pode desperdiçar um ativo coerente.","definição de eventos; atribuição","reconciliação por dispositivo/origem/CTA","ausência de evento não é zero contato","não há rollback enquanto apenas observar","causa isolada com evidência suficiente","dados continuam não reconciliados","backlog da página e plano de mensuração"
"COM-010","P1","T5/T2","corrigir","7","E","seis artigos sem fontes identificadas; autoria/revisão/schema","Parte do conteúdo clínico não expõe fonte, data/revisão ou limitações verificáveis.","Entre 19 artigos clínicos, 14 têm data e 13 seção de fontes; seis não mostram marcador de fontes.","Fazer revisão médica; adicionar fontes primárias pertinentes, data, autoria/revisão e limitações; somente afirmações sustentadas.","sim","sim","sim","não","não","sim — pesquisa/revisão médica","Confiança, segurança clínica e conteúdo compreensível por buscadores/IA.","alta para cobertura; média para impacto","alto","Fonte decorativa ou atualização incorreta pode aumentar risco.","responsável médico; fontes oficiais","rastreabilidade de afirmações e validação schema-conteúdo","não aumentar texto sem valor nem dar recomendação individual","retirar afirmação/fonte inadequada","100% afirmações materiais rastreáveis","fonte não sustenta conteúdo ou revisão médica rejeita","política editorial e ficha de revisão"
"COM-011","P1","T5","corrigir","7","F","home; mensagem sobre nota fiscal/IR","A frase sobre uso no Imposto de Renda pode ser lida como promessa fiscal geral.","Texto atual é amplo; regras dependem de natureza, comprovação, reembolso e situação individual.","Após validação tributária/jurídica, condicionar à legislação e ao caso e referenciar fonte oficial; nunca prometer dedução/restituição.","sim","possível","possível","não","não","sim — validação tributária/jurídica","Reduzir interpretação errada sem retirar transparência.","média-alta","baixo","Texto jurídico demais pode confundir ou desatualizar.","fonte Receita e parecer","revisão de compreensão e dúvidas/contestações","sem promessa de dedução, restituição ou percentual","restaurar última redação juridicamente aprovada","formulação permanece correta e compreendida","mudança normativa ou contestação relevante","guia de linguagem e fonte oficial"
"COM-012","P2","T5","testar","7","F","guias de preço; lifting; otoplastia adulto/infantil","Páginas densas podem dificultar leitura mobile, mas problema real é N/D.","Conteúdo é extenso; experiência real por tarefa/compreensão não foi medida.","Testar sumário, respostas curtas e acordeões acessíveis para conteúdo secundário; nunca ocultar riscos/limites.","sim","sim","não","não","não","não","Melhor compreensão e progressão até contato válido.","baixa-média","médio","Acordeão pode esconder informação essencial ou piorar acessibilidade.","baseline mobile; aprovação de conteúdo","teste de tarefa, teclado/leitor, CWV e resultado downstream por 28 dias","conteúdo essencial sem interação; uma página por vez","restaurar estrutura anterior","compreensão e resultado final melhoram","acessibilidade ou qualidade pioram","padrão editorial/componentes"
"COM-013","P1","T7/T3","testar","2/4","C/G","landing; CTA; WhatsApp; bot; LEADS; CRM","Continuidade página→WhatsApp é forte no desenho, mas entrega e resultado final são N/D.","Mensagens são contextualizadas; nenhuma amostra E2E live foi criada nesta auditoria.","Medir por página/intenção/código visita→CTA→conversa→válido→qualificado→agendado→realizado→fechado com IDs opacos e perdas por etapa.","não","não","sim","sim","sim","sim — leituras e sonda futura","Identificar onde a comunicação ou a integração perde pacientes.","alta para necessidade","alto","Instrumentação mal desenhada expõe dados de saúde.","ATR-001..008; contrato D","sonda anonimizada e reconciliação 28/90 dias","sem mensagens/telefones; ausência de referrer não é direto","desativar instrumentação nova mantendo baseline","Meta Site: 100% da sonda, depois cobertura ≥80%, duplicidade <2% e LEADS=CRM; demais rotas com meta própria","PII, cobertura Meta <80%, duplicidade ≥2%, divergência ou falsa origem","catálogo de eventos e mensuração"
"COM-014","P1","T6/T5","observar","7","E","home; rodapé; clínica/local; schema Organization","Bloco completo de identidade da clínica/diretor técnico não foi identificado; aplicabilidade é N/D.","HTML tem identidade médica; registro PJ/RT completo não foi confirmado.","Inventariar documentos e enquadramento; validar com Codame/jurídico; publicar somente campos obrigatórios e comprovados, consistentes em rodapé/página/schema.","possível","sim","sim","não","não","sim — documentos e parecer","Reduzir ambiguidade entre médica e clínica.","média","médio","Informação incorreta pode criar risco regulatório e de entidade.","documentos da clínica; SEO-001/AI-002","consistência 100% entre superfícies e fontes oficiais","não inventar CRM-PJ, vínculo ou RT","remover campo não comprovado","registro/vínculo válidos e consistentes","qualquer divergência documental","ficha canônica da entidade"
"SEO-004","P1","T1/T2/T5","corrigir","3/7","B/E","sitemap.xml; dateModified; datas visíveis; fonte editorial","Sitemap e schema divergem em datas de modificação.","19/30 páginas com dateModified têm lastmod diferente.","Criar fonte editorial única; na fase técnica alinhar sinais não visíveis apenas quando a data verdadeira estiver comprovada; datas visíveis ficam no pacote textual E; nunca usar data do deploy.","possível","sim","sim","não","não","não","Sinais de frescor coerentes e auditáveis.","alta","médio","Atualizar tudo em massa cria frescor falso e perde histórico editorial.","histórico Git/editorial; aprovação de data","diff de conteúdo; parser XML/JSON-LD; comparação de datas","lastmod somente por mudança significativa","restaurar datas documentadas anteriores","100% das datas divergentes resolvidas com evidência","qualquer data sem mudança material comprovada","política editorial e gerador de sitemap/schema"
"SEO-005","P1","T7","observar","0/2","G","Google Search Console","Cobertura, canonical escolhido, consultas, 28/90 dias e CWV atuais não foram acessíveis.","GSC atual = N/D nesta auditoria.","Após autorização somente leitura, exportar Page Indexing, Sitemaps, URL Inspection amostral, Search Results 28/90 dias e CWV; preservar arquivos brutos, filtros, fuso e timestamp.","não","não","não","não","não","sim — somente leitura GSC","Reduzir incerteza de indexação e priorizar por evidência real.","alta para lacuna","baixo","Filtros errados ou snapshot parcial podem induzir decisão.","propriedade/acesso GSC","reproduzir export e reconciliar URLs do inventário","posição média não é ranking; N/D permanece N/D","não aplicável; descartar export incorreto","fontes e filtros reproduzíveis cobrem 28/90d","export não reconciliável ou propriedade errada","EVIDENCIAS e plano de mensuração"
"SEO-006","P1","T1","testar","3","B","páginas com mídia; sobretudo otoplastia; vídeos/imagens","O site referencia até 63,07 MB de mídia e um arquivo de 42,64 MB; impacto real é N/D.","Tamanhos foram calculados no inventário; PSI retornou 429 e CWV atual é N/D.","Após baseline, testar poster otimizado, preload none fora da dobra, carregamento sob interação, compressão e variantes, sem remover ou trocar conteúdo.","não","não","não","não","não","não","Reduzir bytes e risco de LCP/INP ruim em mobile.","média","médio-alto","Pode piorar reprodução, qualidade, acessibilidade ou percepção.","SEO-003; baseline por template","três rodadas lab; bytes; LCP/CLS/TBT; início de reprodução; inspeção visual","conteúdo e qualidade preservados; uma classe por teste","restaurar atributos/arquivos anteriores","melhora repetida sem regressão funcional","reprodução/qualidade/CWV pioram","guia de mídia/performance"
"SEO-007","P2","T5/T2","testar","7","E/F","/braquioplastia/; /conteudos/papada-contorno-cervical/; grafo interno","Duas páginas têm apenas um link interno de entrada.","Inventário calculou o menor número de inlinks nessas URLs; impacto em descoberta é inferência.","Revisar contexto editorial e adicionar links/âncoras úteis em páginas relacionadas; não fazer engenharia artificial de palavra-chave.","sim","sim","não","não","não","não","Melhor navegação e descoberta contextual.","alta para contagem; média para impacto","baixo","Link artificial pode confundir usuário ou diluir relevância.","aprovação editorial; mapa de conteúdo","crawl/inlinks; clique e tarefa de navegação","âncora descreve destino e é útil ao leitor","remover link específico","navegação melhora e crawl permanece limpo","link artificial/confuso ou piora de uso","mapa editorial e histórico"
"SEO-008","P2","T2/T5","testar","7","E","33 vídeos em 16 páginas; player; schema","Vídeos não têm VideoObject nem track, mas nem todos são elegíveis ou precisam de marcação.","33 vídeos em 16 páginas; zero VideoObject e zero elemento track no inventário.","Selecionar vídeos principais; criar legenda/transcrição aprovada e metadados verdadeiros; marcar apenas páginas de exibição elegíveis com thumbnail/duração/data/descrição sustentadas.","sim","sim","sim","não","não","não","Acessibilidade e melhor compreensão por buscadores/IA.","média","alto","Schema/legenda incorretos ou duplicados criam desinformação.","revisão médica/editorial; ativos estáveis","conteúdo visível, player, Rich Results/parser e duplicidade","nenhum texto automático ou metadado inventado","remover schema/track incorreto mantendo o vídeo","vídeos selecionados passam QA e conteúdo coincide","qualquer divergência ou acessibilidade pior","política de vídeo e schema"
"SEO-009","P2","T1","testar","3","B","stylesheet de fontes; CSS comum; templates","Quarenta e três páginas dependem de stylesheet externo de fontes; impacto real é N/D.","Dependência foi observada em 43 URLs.","Depois do baseline, testar subset/localização de fontes e CSS crítico por template, respeitando licença e sem mudar tipografia comunicacional aprovada.","não","não","não","não","não","não","Reduzir bloqueio de renderização e melhorar estabilidade.","média","médio","Pode alterar legibilidade, branding, licença ou CLS.","SEO-003; licença; inventário de pesos","LCP/CLS/peso/cache/rendering em três rodadas e inspeção visual","mesma aparência/legibilidade; licença respeitada","voltar ao carregamento atual","melhora repetida sem regressão visual","legibilidade/CLS/licença pioram","guia de fontes/performance"
"SEO-010","P2","T7/T1","testar","2","B/G","logs CDN/host; crawlers","Testes por user-agent não comprovam acesso de bot genuíno.","Crawlers técnicos receberam conteúdo no teste; IP/rDNS/range genuínos não foram verificados.","Criar observabilidade anonimizada de crawler e validar IP/rDNS/ranges oficiais antes de classificar agente; não registrar query, ID pessoal ou conteúdo.","não","não","sim","não","não","possível — host/CDN","Evidência real de acesso por mecanismo.","alta para lacuna","médio","Logs podem coletar dados além da finalidade ou classificar spoofing.","SEC-002; retenção; acesso ao host","fixtures de spoofing; validação de range; revisão de logs","zero query/PII; retenção mínima","desativar log e remover dados fora da finalidade","agentes verificados sem exposição","PII, spoofing aceito ou uso sem finalidade","política de crawler logging"
"AI-004","P2","T7/T6","observar","2/8","G","Bing Webmaster AI Performance","Citações e páginas usadas pelo Copilot são N/D.","Relatório autenticado atual não foi acessível.","Com autorização somente leitura, exportar páginas citadas, consultas e período; separar citação, crawl, tráfego e conversão.","não","não","não","não","não","sim — Bing Webmaster","Criar baseline verificável de descoberta no Copilot.","alta para lacuna","baixo","Relatório parcial pode ser interpretado como causalidade.","propriedade Bing; protocolo de evidência","repetir export com período/fuso e guardar bruto","não tratar aumento como efeito causal isolado","não aplicável; descartar export inválido","série mensal reproduzível","dados não reproduzíveis ou propriedade errada","EVIDENCIAS e mensuração IA"
"AI-005","P2","T7","observar","2","G","ChatGPT; Gemini; Perplexity; Copilot; protocolo diagnóstico","Respostas/citações atuais são voláteis e N/D para estabilidade.","Buscas pontuais não medem presença estável.","Executar protocolo mensal com consultas fixas, sessão/idioma/localidade, ≥3 repetições, URL citada e variação; separar de tráfego atribuído.","não","não","não","não","não","sim — consultas externas somente após autorização operacional","Medir consistência sem prometer aparição.","média-alta","médio","Consultas personalizadas e respostas voláteis geram falso ranking.","lista fixa; política de cada mecanismo","repetibilidade, hashes/prints sem PII e comparação mensal","resposta única não é sucesso; nenhuma consulta clínica pessoal","interromper protocolo se não reproduzível/permitido","consistência cresce em várias repetições","violação de termos ou resultado não reproduzível","protocolo de monitoramento IA"
"AI-006","P3","T2","não alterar","3","B","llms.txt","Não existe llms.txt, mas isso não é bloqueio e o recurso não é padrão consolidado de descoberta.","Robots/sitemap/canonical estão presentes; ausência de llms.txt não causou falha observada.","Não criar agora; manter como experimento complementar futuro somente após baseline e fonte canônica.","não agora","não","não","não","não","não","Evitar complexidade e falsa sensação de otimização.","alta","baixo","Arquivo pode divergir do site e ser tratado como solução mágica.","baseline IA estável","se testado no futuro, verificar consumidor e consistência","nunca substituir robots/sitemap/conteúdo","remover arquivo experimental","somente manter com consumidor/benefício verificável","qualquer drift ou ausência de uso","registro de decisão IA"
"SEC-006","P1","T3/T4","corrigir","1/6","A/D","stableLeadHash_; Opportunity ID; store interno","Pseudônimos de pessoa usam SHA-256 truncado sem segredo e Opportunity ID pode ser derivado de event ID+profissional, mantendo correlação se exportado.","Revisão estática encontrou derivação sem chave; reversão prática não foi demonstrada, mas o espaço de entrada pode permitir correlação.","Definir threat model; migrar pseudônimo pessoal para HMAC com key_version; usar UUID aleatório para oportunidade quando possível; nunca reutilizar em ID de mídia; guardar alias somente em storage protegido.","não","não","sim","sim","sim","não","Reduzir correlação/reidentificação entre sistemas.","média-alta","alto","Rotação/migração pode duplicar pessoa/oportunidade ou perder histórico.","SEC-001/002; segredo; mapa de consumidores; backup","vetores de chave/rotação; dual-read; cardinalidade; replay","zero PII/PHI; chaves fora do repo; ID de mídia separado","interromper dual-write e ler alias protegido; nunca voltar a hash sem chave em saídas","100% novos IDs seguem versão aprovada e reconciliação permanece 1:1","colisão, oportunidade duplicada ou perda de vínculo","arquitetura de identidade, rotação de chave e migração"
"CAL-001","P0","T4/T7","corrigir","2/6","D/G","Consultas; CRM; Google Calendar; dashboards","Consulta e Calendar precisam estar reconciliados no mesmo grão antes de usar consulta/ROAS para decisão.","Norte exige ≥95% das novas consultas com Opportunity ID e evento válido, sem confirmação sem sala/equipe; estado atual completo é N/D nesta auditoria.","Instrumentar e reconciliar solicitado/agendado/confirmado/realizado/falta/cancelado por Opportunity ID+event ID; bloquear confirmação sem sala/equipe; reportar N/D onde faltar vínculo.","não","não","sim","sim","sim","sim — Calendar somente após autorização","Tornar consulta um resultado auditável e seguro.","alta para gate; N/D para cobertura atual","alto","Vincular evento errado ou confirmar paciente sem estrutura.","contrato D; acesso Calendar; regras clínicas","cópia/sandbox; evento válido/inválido; sala/equipe; cancelamento/falta","≥95% novas consultas; nenhuma confirmação órfã; zero PII em relatório","parar sincronização e restaurar snapshot; confirmação volta a revisão humana","gate do Norte mantido por 14 dias","cobertura <95% ou confirmação sem sala/equipe","Norte; runbook de agenda; dicionário de fases"
"SLA-001","P1","T4/T7","corrigir","2/6","D","_WHATSAPP_EVENTOS; Central de Atendimento; Painel do Bot","SLA e roteamento não devem liberar escala se não forem calculáveis/confiáveis.","Norte exige SLA calculável em ≥95% das novas conversas, rota válida ≥99% e nenhum P0/P1 operacional vencido; cobertura atual equivalente é N/D.","Materializar timestamps e denominadores por conversa; validar rota; excluir marketing/não paciente sem criar pendência; alertar P0/P1 vencido e impedir gate verde.","não","não","sim","não","sim","não","Atendimento mensurável e seguro antes de escalar aquisição.","alta para gate","médio-alto","Classificar marketing como paciente ou esconder falhas de SLA.","taxonomia operacional; bot/central; regras de exclusão","amostras anônimas de marketing/paciente/continuidade; relógio útil; rota ambígua","SLA ≥95%; rota ≥99%; zero P0/P1 vencido; nenhum bot em rota ambígua","desativar projeção nova e manter fila humana","gates estáveis por 14 dias","qualquer P0/P1 vencido, rota inválida ou denominador corrompido","Norte; manual de atendimento; dashboard"
"GAD-001","P0","T6/T7","observar","0/5","G","Google Ads; ação Lead qualificado GCLID; metas das campanhas","O papel atual da ação offline precisa ser confirmado antes de confiar em lances; snapshots históricos divergem.","Norte registra que em 09/08 parecia secundária; snapshot autenticado de 14/08 indicou Principal/incluída/meta personalizada e Requer atenção; estado de 15/08 é N/D.","Em modo somente leitura, confirmar ação principal/secundária, inclusão nas metas e meta usada em cada campanha; registrar screenshots/export e alerta; não mudar lances até recibos e sete dias sem alerta.","não","não","não","sim","não","sim — somente leitura agora; qualquer ajuste separado","Evitar otimização por sinal quebrado ou definição errada.","alta para necessidade; média para estado atual","baixo","Interpretar snapshot antigo como atual ou alterar meta sem autorização.","DAT-001; acesso Ads; fuso","reconciliar tela de ação, metas de conta/campanha e diagnósticos","nenhuma mudança Ads; N/D se interface não comprovar","não aplicável; descartar captura ambígua","100% das seis campanhas têm papel documentado e sinal reconciliado","qualquer divergência ou alerta persiste","Norte; inventário Ads; EVIDENCIAS"
"STR-001","P1","T7","corrigir","0 após reconciliação","G/D","Norte §2; relatórios de funil","O texto histórico pode tratar ausência de consulta ligada como gargalo causal, embora Calendar/CRM não estejam reconciliados no mesmo grão.","O recorte dizia nenhuma consulta agendada; a leitura segura é zero consulta registrada/ligada no snapshot e resultado real N/D até reconciliação.","Não alterar nesta auditoria; após CAL-001, atualizar Norte/histórico com fato, limitação e hipótese: drop-off observado ou falha de mensuração, sem causalidade indevida.","não","sim","não","sim","sim","não","Decisões estratégicas baseadas em denominador confiável.","alta","baixo","Reescrever o Norte antes da prova pode apagar contexto histórico.","CAL-001; autorização estratégica","reconciliação por Opportunity ID/event ID e revisão do texto","zero não substitui N/D; preservar histórico e motivo","manter texto atual anotado até prova; rollback documental por Git","novo texto reflete a fonte reconciliada","qualquer conclusão causal sem evidência","Norte e histórico estratégico"
"OPS-001","P0","T1/T7","corrigir","9","A/B/C/D/E/F/G","Git; build; host; documentação canônica","Risco futuro de editar/publicar locais diferentes e criar drift.","Regra operacional exige local, commit e publicação iguais; auditorias podem entrar no deploy se o artefato não for restrito.","Registrar commit-base; escopo/diff; testes; atualizar Norte quando estratégia mudar; commit intencional; publicar commit aprovado; verificar hash/artefato e smoke; registrar versão.","depende do pacote","depende do pacote","depende do pacote","depende do pacote","depende do pacote","sim — publicação somente autorizada","Reprodutibilidade e rollback confiável.","alta","médio","Deploy de mudança não autorizada ou artefato divergente.","SEC-003; autorização do pacote","git diff/check/test/build; manifesto; smoke; comparação hash","nenhum arquivo fora do escopo; auditorias não públicas","rollback ao commit-base e confirmação live","local=commit=produção e testes verdes","qualquer divergência ou regressão crítica","AGENTS; Norte; histórico e runbook deploy"
"OBS-001","P2","T7","observar","2–9","todos","dashboards; logs; relatórios de revisão","Sem cadência e amostra mínimas, decisões podem reagir a ruído ou janelas contaminadas.","Instrumentação é recente e várias métricas são N/D ou têm baixa cobertura.","Adotar plano de mensuração: diário em migração; 7/14 dias técnicos; 28/90 dias SEO; uma variável por teste; N/D explícito.","não","não","sim","sim","sim","não","Decisões mais confiáveis e menor risco de otimização local.","alta","baixo","Metas rígidas sem volume podem atrasar aprendizado.","15-PLANO-DE-MENSURACAO.md","reconciliação e auditoria de denominadores","não usar benchmark genérico nem causalidade falsa","pausar painel/decisão se fonte divergir","janelas completas e guardrails estáveis","qualquer decisão baseada em dado não reconciliado","dicionário de métricas e calendário de revisão"
