"ID","grupo_prioridade","area","problema","evidencia","campanha_ativa_ou_pagina_afetada","mudanca_proposta","impacto_esperado","confianca","urgencia","esforco","risco","dependencias","responsavel_sugerido","metrica_principal","guardrail","duracao","criterio_para_manter","criterio_para_ampliar","criterio_para_reverter","necessidade_de_aprovacao"
"OPS-01","ganhos rápidos","Operação","Há pendências vencidas de alta prioridade","2 compromissos vencidos; 6 itens acionáveis não baixos","Central de Atendimento","Fechar diariamente P0/P1 e registrar resolução","Evitar perda operacional imediata","alta","P0","baixo","Retomar contato proibido","Preferências de contato e owner","Atendimento","P0/P1 vencidos ao fim do dia","Nunca contatar quem optou por não contato","Diário por 30 dias","zero P0/P1 vencido","Adicionar capacidade conforme volume","Suspender retomada automática se preferência falhar","Sim — operação"
"OPS-02","bloqueadores de mensuração","Operação","Escolha, confirmação e Calendar não formam estado único","Aba pendente ausente e 1/10 IDs conciliado","Agenda e Consultas","Unificar máquina de estados com confirmação humana e event_id","Reduzir conflito e validar consulta","alta","P0","alto","Confirmar sem disponibilidade","DAT-04 e Calendar","Engenharia e atendimento","% consultas novas conciliadas","Sem mensagem de confirmação antes de sala/equipe","30 dias","cobertura >=95%","Importar consulta à mídia após 30 dias estáveis","Voltar a fluxo manual se houver conflito","Sim — Daniel, Amanda e operação"
"OPS-03","ganhos rápidos","Operação","Slots passados permanecem disponíveis","26 horários passados marcados disponíveis","Agenda","Expirar/arquivar slots passados preservando histórico","Reduzir ruído e oferta inválida","alta","P1","baixo","Apagar histórico","Regra de timezone e status","Agenda e engenharia","slots passados ofertáveis","Nunca apagar linha histórica","7 dias","zero slot passado ofertável","Automatizar check diário","Reverter regra se expirar futuro válido","Sim — operação"
"OPS-04","ganhos rápidos","Operação","Atraso pós-consulta diverge em docs/código","Documentos citam 2h e 3h; código usa 180 min","Pós-consulta","Definir uma configuração única e alinhar docs/testes","Previsibilidade operacional","alta","P1","baixo","Enviar cedo/tarde indevidamente","Agenda reconciliada e revisão clínica","Operação e engenharia","config, doc e teste idênticos","Somente consulta reconciliada e elegível","7 dias","zero divergência","Ajustar apenas por decisão clínica documentada","Voltar ao valor aprovado anterior","Sim — Amanda e operação"
"OPS-05","mudanças estruturais","Operação","Orçamento/aceite/realização/pagamento não são mensuráveis","Marcos não tipados e sem backfill","Ledger comercial","Persistir quote_sent, accepted, completed e payment_confirmed com fonte/confiança","Fechar funil até cirurgia sem inferência","alta","P1","médio-alto","Marcar fechamento ou pagamento indevido","DAT-05 e revisão humana","Operação e engenharia","completude e correções por marco","Nunca inferir pagamento/aceite; histórico desconhecido nulo","30 dias","completude >=95% nos novos","Adicionar receita só após conciliação financeira","Reverter automatismo se falso positivo ocorrer","Sim — Daniel e Amanda"
"OPS-06","mudanças estruturais","Operação","Incidentes não têm runbook único","Fontes, filas e estados fragmentados","Bot, CRM e agenda","Publicar runbook com severidade, owner, prazo e evidência de encerramento","Reduzir tempo de falha e repetição","média","P2","médio","Expor dado sensível no alerta","Owners e canais internos","Operação","% P0/P1 com owner e SLA","Nenhum conteúdo clínico/pessoal","30 dias; teste trimestral","100% incidentes críticos rastreados","Expandir para mídia após maturidade","Revisar runbook após falha de simulação","Sim — Daniel e operação"
"BUD-01","bloqueadores de mensuração","Orçamento","Escala hoje usaria métricas não confiáveis","Google sem janela; ação em atenção; Calendar 1/10","Todas as campanhas ativas","Adotar cenário 1 como teto e manter reserva não liberada","Evitar desperdício enquanto corrige o funil","alta","P0","baixo","Subinvestir temporariamente","Gates de mensuração e capacidade","Daniel e Amanda","gates aprovados e gasto dentro do teto","Sem aumento líquido; uma mudança por vez","14 dias","gates melhoram sem perda operacional","Migrar ao cenário 2 somente ao cumprir gates","Reduzir gasto se qualquer gate piorar","Sim — Daniel e Amanda"
"BUD-02","expansão","Orçamento","Crescimento conservador precisa de regra","Custo Meta válido R$7,95; Google e consulta N/D","Campanhas ativas e um teste novo por vez","Liberar cenário 2 de R$4.800 após gates mínimos","Aprender com pouco risco incremental","média","P1","médio","Escalar um custo não estável","BUD-01, DAT-10 e capacidade","Daniel e Amanda","CPQL e consulta Calendar-validada","Aumentos de 10%–20%; nenhum tCPA/PMax","30 dias","custos dentro da faixa e zero quebra operacional","Migrar ao cenário 3 após dois ciclos/gates","Voltar ao cenário 1 se custo +30% ou dados quebrarem","Sim — Daniel e Amanda"
"BUD-03","expansão","Orçamento","Cenário base exige volume validado","Hoje não há custo confiável por consulta","Campanhas ativas e testes sequenciais","Liberar R$6.000 somente com importação, agenda e capacidade estáveis","Crescimento sustentável","média-baixa","P2","médio","Sobrecarga e regressão de qualidade","20–30 qualificados aceitos ou gates equivalentes","Daniel e Amanda","CPQL, consultas realizadas e capacidade","Dois ciclos estáveis; margem ainda não usada como ROAS","30–60 dias","qualidade e consulta sustentadas","Migrar ao cenário 4 apenas com 10+ consultas válidas e capacidade","Voltar ao cenário 2 ao primeiro ciclo fora do guardrail","Sim — Daniel e Amanda"
"BUD-04","expansão","Orçamento","Crescimento agressivo não tem base atual","Cirurgia e receita não são mensuráveis","Portfólio ativo e novos testes","Tratar R$8.400 como teto condicional, não plano imediato","Capturar demanda após maturidade","baixa","P2","alto","Gasto e carga superarem capacidade","Gates completos, margem e agenda cirúrgica","Daniel, Amanda e operação","CPQL, consultas realizadas, cirurgia e margem","Revisão semanal; um canal/campanha por vez","60–90 dias","dois ciclos com margem/capacidade confirmadas","Ampliar apenas com receita conciliada","Voltar ao cenário 3 diante de qualquer ruptura","Sim — Daniel e Amanda"
"BUD-05","ações que não devem ser executadas","Orçamento","ROAS e cirurgia seriam falsa precisão","Receita, aceite e realização não têm fonte auditável","Todos os canais","Não publicar ROAS, custo por cirurgia ou promessa de volume até OPS-05 e financeiro fecharem","Evitar decisão financeira incorreta","alta","P0","baixo","Adiar leitura de rentabilidade","OPS-05 e conciliação financeira","Daniel e Amanda","% receita vinculada e auditada","Nenhuma estimativa vira fato","Até >=95% de cobertura financeira por oportunidade","Manter bloqueio enquanto cobertura <95% ou QA estiver pendente","Liberar análise de margem após cobertura e QA","Retirar relatório financeiro se cobertura cair","Sim — Daniel e Amanda"
